threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.4752,0.014488536710102922,0.3771378620123974,0.0024
0.1,0.476,0.014468512570406124,0.3721179352633768,-0.0256
0.2,0.4764,0.014469333087602896,0.3808088542526603,0.014
0.3,0.48,0.014421317554232,0.38009691192384204,0.008
0.4,0.4908,0.014271540351342598,0.3842465713748488,-0.0028
0.5,0.4816,0.014399919999777777,0.3844986754502542,-0.0024
0.6,0.4752,0.014488580882888428,0.3762234796357849,0.0016
0.7,0.4744,0.014499222599849966,0.3794763827223222,0.0056
0.8,0.4908,0.014271647977721423,0.38373572591855254,-0.0004
0.9,0.4864,0.014333097920547393,0.37756549915793247,-0.0024
1,0.4624,0.014663927986729886,0.3729073695454474,0.0048
