threshold_parameter,final_opinion,final_std,final_clustering
0,0.4844,0.014358328593537618,0.384604811734576,-0.014
0.1,0.466,0.014609364667910785,0.3711399159552775,0.0204
0.2,0.4748,0.014494081550757189,0.3769644700796625,-0.002
0.3,0.5008,0.014129721299445366,0.3871424030825336,-0.0088
0.4,0.484,0.014366191422920692,0.3837400115101608,-0.0056
0.5,0.482,0.014394423364622844,0.37842229549731643,0.0012
0.6,0.4532,0.014788819560735737,0.3707563136457821,0.0052
0.7,0.4828,0.014383214661542115,0.3826210550812512,-0.0028
0.8,0.4948,0.014215464255521169,0.38676385950410974,0.0012
0.9,0.4848,0.014354916091708792,0.3801250281076603,-0.0064
1,0.4844,0.014360949272245203,0.37732578889492285,0.0028
