threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.494,0.014223313819219485,0.38720231971115654,-0.0156
0.1,0.4848,0.014353480414171331,0.3792264230285404,-0.012
0.2,0.486,0.014332952801150222,0.38902479072969065,-0.0204
0.3,0.486,0.01433795299197204,0.38281910127313207,0.0076
0.4,0.4784,0.0144443672066311,0.37833327963028757,-0.0008
0.5,0.4884,0.014305241556856004,0.3898133413447665,0.0004
0.6,0.4724,0.014527213635105665,0.382119730887376,-0.0004
0.7,0.4704,0.014554504457383632,0.37913944357786344,0.004
0.8,0.4908,0.014271630040047984,0.3808267229141597,0.0012
0.9,0.47,0.014560199998626393,0.37316488199529524,0.0012
1,0.4852,0.01434980362234968,0.38010027588492457,-0.0028
