threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0192,0.002964277989662913,0.965468561466946,-0.9792
0.1,0.106,0.01871017006870862,0.6675127149892278,0.1372
0.2,0.1096,0.0188329855307118,0.6525556371112925,-0.0608
0.3,0.1044,0.018926618715449414,0.6758074707009979,-0.0076
0.4,0.108,0.018549107148323876,0.6415366688432778,-0.1784
0.5,0.1792,0.018101219406437788,0.49347024603663986,0.0408
0.6,0.1432,0.018471658723568925,0.5475397859654774,-0.0616
0.7,0.118,0.018714014427695623,0.6095272658341081,-0.0804
0.8,0.092,0.019057746351549543,0.7005888939565639,-0.0024
0.9,0.1676,0.018246263836742032,0.5248839838169332,0.0092
1,0.0916,0.019060175864875958,0.7062359930180976,-0.0132
