threshold_parameter,final_opinion,final_std,final_clustering,final_pol
0,0.0144,0.003074498983574397,0.9704809059582722,0.9808
0.1,0.072,0.012199682618822507,0.7974012518467721,0.7456
0.2,0.1296,0.015833622958754578,0.6178350620385984,-0.4936
0.3,0.0956,0.019011977698282737,0.6982165321658813,0.0276
0.4,0.094,0.01903424955179479,0.6884344238940259,-0.0156
0.5,0.1308,0.01862346906459696,0.5985362753619192,0.046
0.6,0.0964,0.019010159809954255,0.6735903793472273,0.0116
0.7,0.0988,0.018986268722421474,0.6758486970240808,-0.002
0.8,0.1012,0.018959782277230927,0.658022219477865,0.0108
0.9,0.1464,0.018461455630583413,0.5720172849992596,-0.0392
1,0.0948,0.019028398145929153,0.7028038427292267,0.0004
