media_authority,final_opinion,final_std,final_clustering,final_pol,prob_to_change
0.1,0.0432,0.01935481583482519,0.7897672682620709,-0.1424,0.972
0,0.0296,0.019693816288368287,0.8171957536179275,-0.028,1.1268
5,0.2884,0.01686968215468211,0.5139985084736757,-0.0116,0.6532
1,0.0772,0.019211454916273258,0.7664214250229674,-0.01,1.0944
2,0.088,0.019092874482382165,0.7466484866682506,0.0256,1.0828
4,0.1652,0.01826141024127107,0.6555513865336515,-0.0332,0.778
6,0.39,0.015619595897461624,0.40952916010885126,0.0084,0.6364
8,0.4472,0.01486864943429631,0.3829418616954093,0.0104,0.602
10,0.4136,0.01531414822966005,0.36550520330109276,0.0096,0.6392
15,0.3896,0.015624014336910986,0.3558114716306204,-0.0112,0.6172
20,0.3704,0.015869265893544034,0.3450449540615517,0.004,0.6316
