number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.1056,0.01890845313609762,0.6928857624002734,0.024,0.106
20,0.3244,0.016416676399320297,0.3725339809693114,-0.0428,0.004
30,0.386,0.015669128884529607,0.3689017867178275,0.014,0.0
40,0.4164,0.015275557469369164,0.36772308293019523,0.0156,0.0
50,0.4284,0.015120742838895185,0.37006401175716547,-0.0028,0.0
60,0.4592,0.01470711610071805,0.3724107580356313,0.0072,0.002
70,0.47,0.014559426362326228,0.37878501631662437,0.0076,0.0
80,0.5028,0.0141023708645036,0.39586699318265234,0.0028,0.0
90,0.5176,0.013889446929233717,0.40278775161202574,-0.0104,0.0
100,0.5132,0.013954153503527182,0.39071554346715315,0.002,0.002
