media_authority,final_opinion,final_std,final_clustering,final_pol,prob_to_change
0.1,0.0408,0.0195609668472701,0.7957210857592445,-0.0512,1.0916
0,0.052,0.019197559844938625,0.7767830617133965,-0.1632,1.0328
5,0.2732,0.0170305908294457,0.5317010369359454,0.0412,0.7556
1,0.0596,0.01939464503413249,0.7965015374898732,-0.0044,1.0252
2,0.0604,0.019328786407842576,0.7868244134145852,0.0748,0.9108
4,0.2016,0.017833476834313605,0.6065973167390347,-0.0576,0.626
6,0.4228,0.01519412728655384,0.3882509739012709,-0.0068,0.5812
8,0.4304,0.015094335891320294,0.3776531069887539,0.0016,0.5768
10,0.4084,0.015383105538219517,0.3652723177192337,0.0004,0.6184
15,0.3952,0.015553777676178864,0.3582946265494879,0.0,0.626
20,0.3712,0.015859180306686725,0.3475100169997029,-0.004,0.6396
