[-1, -1]	[-1, 0]	[-1, 1]	[0, -1]	[0, 0]	[0, 1]	[1, -1]	[1, 0]	[1, 1]
0.124	0.1076	0.094	0.1036	0.1164	0.112	0.1176	0.1192	0.1056
0.1232	0.1084	0.0828	0.1056	0.1316	0.114	0.1068	0.1216	0.106
0.1236	0.1076	0.078	0.1096	0.1468	0.1108	0.0964	0.1204	0.1068
0.1228	0.108	0.0708	0.1128	0.156	0.1112	0.0888	0.1232	0.1064
0.1236	0.1076	0.0684	0.114	0.1708	0.106	0.0788	0.124	0.1068
0.1264	0.1052	0.0632	0.11	0.1844	0.1036	0.0748	0.1212	0.1112
0.1288	0.104	0.0576	0.1108	0.1936	0.1004	0.0672	0.122	0.1156
0.1328	0.1012	0.0544	0.1084	0.2016	0.1012	0.0624	0.118	0.12
0.1368	0.0992	0.052	0.1052	0.206	0.1004	0.0576	0.1188	0.124
0.1396	0.0988	0.0476	0.1016	0.2156	0.1008	0.054	0.116	0.126
0.14	0.0964	0.0452	0.1044	0.2196	0.1004	0.0496	0.114	0.1304
0.1448	0.094	0.0424	0.1036	0.2224	0.102	0.046	0.1128	0.132
0.1476	0.0948	0.04	0.1048	0.2256	0.0992	0.0392	0.1136	0.1352
0.1528	0.0948	0.036	0.102	0.2264	0.0984	0.0372	0.112	0.1404
0.156	0.0944	0.0348	0.1024	0.2288	0.0964	0.0344	0.1108	0.142
0.1596	0.0916	0.0328	0.0996	0.234	0.0964	0.0324	0.1096	0.144
0.1604	0.0916	0.0296	0.0992	0.2368	0.0944	0.0292	0.11	0.1488
0.164	0.0888	0.0264	0.1	0.2376	0.0948	0.026	0.1096	0.1528
0.1688	0.0868	0.0248	0.0984	0.2384	0.0936	0.0232	0.1088	0.1572
0.172	0.0848	0.0224	0.0996	0.2392	0.0932	0.0204	0.1076	0.1608
0.1744	0.0808	0.0212	0.1	0.242	0.0932	0.0188	0.1064	0.1632
0.1748	0.082	0.0192	0.0984	0.2452	0.0912	0.0184	0.1036	0.1672
0.1776	0.0784	0.0184	0.0988	0.2476	0.0896	0.0168	0.1044	0.1684
0.1788	0.0792	0.0164	0.098	0.2472	0.0896	0.0156	0.1048	0.1704
0.1808	0.078	0.0148	0.0988	0.2468	0.09	0.0144	0.1028	0.1736
0.1832	0.0784	0.0144	0.0988	0.2468	0.0896	0.014	0.0992	0.1756
0.184	0.078	0.0136	0.0976	0.246	0.0908	0.0132	0.0996	0.1772
0.1848	0.0772	0.0136	0.096	0.2488	0.0904	0.012	0.0992	0.178
0.1868	0.0776	0.012	0.0964	0.2496	0.0888	0.0112	0.0976	0.18
0.19	0.0768	0.012	0.0932	0.2496	0.0884	0.0108	0.0976	0.1816
0.192	0.0772	0.012	0.0924	0.2476	0.0872	0.0104	0.0964	0.1848
0.194	0.0768	0.0116	0.0916	0.2484	0.088	0.01	0.0932	0.1864
0.1956	0.0756	0.0116	0.0896	0.2508	0.0856	0.01	0.0928	0.1884
0.1968	0.0748	0.0116	0.0892	0.2508	0.0848	0.0096	0.0928	0.1896
