[-1, -1]	[-1, 0]	[-1, 1]	[0, -1]	[0, 0]	[0, 1]	[1, -1]	[1, 0]	[1, 1]
0.1088	0.1072	0.1128	0.1172	0.1024	0.1176	0.1096	0.1072	0.1172
0.1108	0.1056	0.1044	0.1188	0.118	0.1176	0.0992	0.108	0.1176
0.1136	0.108	0.0948	0.1196	0.1296	0.1168	0.0916	0.1072	0.1188
0.116	0.1076	0.0852	0.1164	0.1464	0.1152	0.086	0.1064	0.1208
0.118	0.108	0.0784	0.1128	0.1608	0.1148	0.0776	0.1076	0.122
0.1172	0.1076	0.0692	0.1128	0.1768	0.1164	0.0716	0.1064	0.122
0.1236	0.1064	0.0636	0.11	0.1844	0.112	0.066	0.108	0.126
0.13	0.098	0.0588	0.1088	0.1944	0.1128	0.0608	0.106	0.1304
0.1356	0.0956	0.0552	0.106	0.2016	0.1084	0.0524	0.1064	0.1388
0.1424	0.0964	0.0496	0.1028	0.2068	0.1036	0.0492	0.1016	0.1476
0.1468	0.0944	0.0464	0.1012	0.2144	0.0972	0.0456	0.0968	0.1572
0.1464	0.0936	0.042	0.1004	0.2228	0.0932	0.0436	0.0952	0.1628
0.1492	0.0916	0.04	0.104	0.224	0.0896	0.0392	0.0948	0.1676
0.1568	0.09	0.034	0.1028	0.2268	0.0888	0.0356	0.0908	0.1744
0.1652	0.0876	0.0316	0.0996	0.2316	0.0852	0.0336	0.086	0.1796
0.174	0.0824	0.0308	0.0976	0.2352	0.0812	0.03	0.0832	0.1856
0.182	0.08	0.0284	0.0952	0.2348	0.0808	0.0268	0.084	0.188
0.1892	0.0784	0.0244	0.0908	0.24	0.0788	0.0256	0.0812	0.1916
0.1948	0.0792	0.0216	0.0892	0.2376	0.0752	0.0248	0.0768	0.2008
0.2036	0.0748	0.0212	0.086	0.2372	0.0724	0.0244	0.072	0.2084
0.212	0.072	0.02	0.084	0.2352	0.0708	0.0216	0.0704	0.214
0.2164	0.072	0.0184	0.0824	0.234	0.0684	0.0196	0.0712	0.2176
0.222	0.0708	0.0168	0.0804	0.234	0.0664	0.0188	0.0696	0.2212
0.2284	0.0672	0.0156	0.0792	0.232	0.0656	0.0168	0.0688	0.2264
0.234	0.0632	0.0152	0.0784	0.232	0.0644	0.0156	0.0672	0.23
0.2412	0.0592	0.014	0.0768	0.2312	0.0628	0.0124	0.0668	0.2356
0.2464	0.058	0.0128	0.0756	0.228	0.062	0.012	0.0648	0.2404
0.2508	0.0584	0.0116	0.0728	0.2268	0.06	0.0116	0.0616	0.2464
0.2552	0.0572	0.0112	0.0708	0.2256	0.0592	0.0108	0.0592	0.2508
0.2588	0.056	0.0096	0.0696	0.2236	0.06	0.0096	0.0568	0.256
0.2648	0.054	0.0084	0.066	0.2232	0.0588	0.0092	0.0556	0.26
0.2696	0.0512	0.0076	0.0648	0.2232	0.0556	0.0092	0.0532	0.2656
0.2764	0.0484	0.0068	0.0604	0.2232	0.0536	0.0088	0.052	0.2704
0.28	0.0472	0.006	0.0592	0.2212	0.0536	0.0084	0.0504	0.274
0.2864	0.0472	0.0048	0.0552	0.22	0.0504	0.0084	0.0488	0.2788
0.29	0.0468	0.004	0.0528	0.2192	0.0496	0.0072	0.046	0.2844
0.2936	0.0452	0.004	0.0516	0.218	0.048	0.0068	0.0456	0.2872
0.2972	0.0444	0.0036	0.0488	0.2184	0.0476	0.0064	0.0452	0.2884
0.3004	0.044	0.0032	0.0472	0.2172	0.0464	0.006	0.0436	0.292
0.304	0.0432	0.0024	0.0464	0.2152	0.0464	0.0044	0.0416	0.2964
0.3084	0.042	0.0016	0.0444	0.2144	0.0456	0.0044	0.0412	0.298
0.3116	0.0404	0.0016	0.0432	0.2132	0.0432	0.004	0.0404	0.3024
0.3156	0.038	0.0016	0.042	0.2124	0.0428	0.004	0.038	0.3056
0.3196	0.036	0.0016	0.0408	0.2112	0.0412	0.004	0.0368	0.3088
0.3228	0.0348	0.0016	0.04	0.2108	0.0404	0.0032	0.0364	0.31
0.3244	0.0344	0.0016	0.0388	0.2108	0.0384	0.0028	0.0348	0.314
0.3276	0.0332	0.0016	0.0376	0.2096	0.038	0.0028	0.0344	0.3152
0.33	0.0332	0.0016	0.0372	0.208	0.0364	0.0024	0.034	0.3172
0.3328	0.032	0.0016	0.0368	0.2068	0.0352	0.0024	0.0324	0.32
0.3356	0.0312	0.0016	0.0356	0.2052	0.0348	0.0024	0.0308	0.3228
0.3376	0.0308	0.0016	0.0344	0.2044	0.034	0.0024	0.0308	0.324
0.3428	0.0288	0.0016	0.0312	0.2044	0.0316	0.0016	0.0316	0.3264
0.344	0.028	0.0016	0.0308	0.2044	0.03	0.0016	0.0308	0.3288
0.3444	0.028	0.0016	0.0312	0.2028	0.03	0.0016	0.0292	0.3312
0.3476	0.0264	0.0016	0.0296	0.202	0.0304	0.0016	0.0276	0.3332
0.35	0.0252	0.0016	0.0288	0.2016	0.0296	0.0016	0.0264	0.3352
0.3516	0.0248	0.0016	0.028	0.2012	0.0284	0.0016	0.026	0.3368
0.3524	0.0244	0.0016	0.028	0.2008	0.0276	0.0016	0.0248	0.3388
0.3536	0.0244	0.0016	0.0272	0.2004	0.0272	0.0008	0.024	0.3408
0.3564	0.0232	0.0016	0.0264	0.1992	0.026	0.0008	0.0232	0.3432
0.358	0.0228	0.0012	0.0252	0.1996	0.0252	0.0008	0.022	0.3452
0.3592	0.0224	0.0012	0.0256	0.1984	0.024	0.0008	0.0216	0.3468
0.3612	0.0212	0.0008	0.0252	0.198	0.0228	0.0008	0.0216	0.3484
0.3628	0.0204	0.0008	0.0248	0.1972	0.0224	0.0008	0.0212	0.3496
0.3632	0.0204	0.0008	0.0244	0.1972	0.0208	0.0008	0.0208	0.3516
0.3644	0.0204	0.0008	0.0236	0.1968	0.0204	0.0008	0.0208	0.352
0.3656	0.0204	0.0004	0.0228	0.1964	0.0192	0.0008	0.0204	0.354
0.3668	0.02	0.0004	0.0224	0.1956	0.018	0.0008	0.0196	0.3564
0.3692	0.0184	0.0004	0.022	0.1964	0.0172	0.0004	0.0192	0.3568
0.3704	0.018	0.0004	0.0216	0.196	0.0172	0.0004	0.0192	0.3568
0.3716	0.0176	0.0004	0.0208	0.196	0.0168	0.0004	0.0188	0.3576
0.3724	0.0172	0.0004	0.0208	0.1956	0.0168	0.0004	0.0184	0.358
0.3728	0.0168	0.0004	0.0208	0.1952	0.0164	0.0004	0.018	0.3592
0.3752	0.0156	0.0004	0.02	0.194	0.0164	0.0004	0.0168	0.3612
0.3756	0.0156	0.0	0.0196	0.1936	0.0164	0.0004	0.0172	0.3616
0.376	0.0156	0.0	0.0196	0.1932	0.016	0.0004	0.0172	0.362
0.378	0.0148	0.0	0.0188	0.1928	0.0156	0.0004	0.0164	0.3632
0.378	0.0148	0.0	0.0188	0.1928	0.0152	0.0004	0.0156	0.3644
0.3792	0.014	0.0	0.0184	0.1928	0.0144	0.0004	0.0152	0.3656
0.38	0.014	0.0	0.0184	0.192	0.0132	0.0004	0.0152	0.3668
0.3804	0.0136	0.0	0.0184	0.192	0.0132	0.0004	0.0152	0.3668
0.3808	0.0136	0.0	0.018	0.1916	0.0132	0.0004	0.0152	0.3672
0.3812	0.0136	0.0	0.018	0.1912	0.0132	0.0004	0.014	0.3684
0.3812	0.014	0.0	0.018	0.1908	0.0132	0.0004	0.012	0.3704
0.382	0.0132	0.0	0.018	0.1908	0.0132	0.0004	0.012	0.3704
0.3824	0.0132	0.0	0.0176	0.1904	0.0132	0.0004	0.012	0.3708
0.3832	0.0132	0.0	0.0172	0.19	0.0124	0.0004	0.012	0.3716
0.3836	0.0128	0.0	0.0172	0.19	0.012	0.0004	0.0116	0.3724
0.3844	0.0132	0.0	0.0168	0.1892	0.012	0.0004	0.0116	0.3724
0.3856	0.0128	0.0	0.0164	0.1884	0.0112	0.0004	0.0112	0.374
0.3864	0.0132	0.0	0.0156	0.188	0.0112	0.0004	0.0112	0.374
0.3864	0.0132	0.0	0.0156	0.188	0.0112	0.0004	0.0112	0.374
0.3872	0.0128	0.0	0.0156	0.188	0.0112	0.0	0.0104	0.3748
0.3876	0.0128	0.0	0.0152	0.1876	0.0112	0.0	0.0104	0.3752
0.3876	0.0128	0.0	0.0152	0.1876	0.0108	0.0	0.0104	0.3756
0.3884	0.0124	0.0	0.0148	0.1868	0.0112	0.0	0.0104	0.376
0.3892	0.0124	0.0	0.0144	0.1864	0.0108	0.0	0.0104	0.3764
0.3896	0.0124	0.0	0.014	0.1864	0.0108	0.0	0.0104	0.3764
0.3896	0.0124	0.0	0.014	0.1864	0.0104	0.0	0.01	0.3772
0.3904	0.012	0.0	0.0136	0.1864	0.0104	0.0	0.01	0.3772
0.3912	0.012	0.0	0.0132	0.1856	0.0104	0.0	0.0092	0.3784
0.392	0.0116	0.0	0.0128	0.1856	0.01	0.0	0.0092	0.3788
0.3928	0.0112	0.0	0.0128	0.1852	0.0096	0.0	0.0092	0.3792
0.3936	0.0112	0.0	0.012	0.1852	0.0096	0.0	0.0092	0.3792
0.394	0.0108	0.0	0.012	0.1852	0.0096	0.0	0.0088	0.3796
0.394	0.0108	0.0	0.012	0.1852	0.0096	0.0	0.0084	0.38
0.3944	0.0104	0.0	0.012	0.1852	0.0096	0.0	0.0084	0.38
0.3956	0.0096	0.0	0.0116	0.1852	0.0092	0.0	0.008	0.3808
0.396	0.0088	0.0	0.0116	0.1856	0.0092	0.0	0.008	0.3808
0.396	0.0088	0.0	0.0116	0.1856	0.0092	0.0	0.0076	0.3812
0.3968	0.008	0.0	0.0116	0.1856	0.0092	0.0	0.0072	0.3816
0.3968	0.008	0.0	0.0116	0.1856	0.0092	0.0	0.0068	0.382
0.3968	0.008	0.0	0.0116	0.1856	0.0088	0.0	0.0068	0.3824
0.3972	0.008	0.0	0.0112	0.1852	0.0084	0.0	0.0068	0.3832
0.3972	0.008	0.0	0.0112	0.1848	0.0084	0.0	0.0064	0.384
0.3976	0.008	0.0	0.0108	0.1848	0.0084	0.0	0.0064	0.384
0.3976	0.008	0.0	0.0108	0.1848	0.008	0.0	0.0064	0.3844
0.398	0.0076	0.0	0.0108	0.1848	0.0072	0.0	0.0064	0.3852
0.3984	0.0072	0.0	0.0108	0.1848	0.0068	0.0	0.0064	0.3856
0.3984	0.0072	0.0	0.0108	0.1848	0.0064	0.0	0.0064	0.386
0.3984	0.0072	0.0	0.0108	0.1848	0.0064	0.0	0.0064	0.386
0.3984	0.0072	0.0	0.0108	0.1848	0.0064	0.0	0.006	0.3864
0.3984	0.0072	0.0	0.0108	0.1848	0.0064	0.0	0.006	0.3864
0.3984	0.0072	0.0	0.0108	0.1848	0.0064	0.0	0.006	0.3864
0.3984	0.0072	0.0	0.0108	0.1848	0.0064	0.0	0.0056	0.3868
0.3988	0.0068	0.0	0.0108	0.1848	0.0064	0.0	0.0056	0.3868
0.3988	0.0068	0.0	0.0108	0.1848	0.0064	0.0	0.0056	0.3868
0.3988	0.0068	0.0	0.0108	0.1844	0.0064	0.0	0.0056	0.3872
0.3988	0.0068	0.0	0.0108	0.1844	0.0064	0.0	0.0052	0.3876
0.3988	0.0068	0.0	0.0108	0.1844	0.0064	0.0	0.0052	0.3876
0.3988	0.0068	0.0	0.0108	0.1844	0.006	0.0	0.0052	0.388
0.3992	0.0064	0.0	0.0108	0.1844	0.006	0.0	0.0052	0.388
0.3996	0.0064	0.0	0.0104	0.1844	0.006	0.0	0.0052	0.388
0.3996	0.0064	0.0	0.0104	0.184	0.006	0.0	0.0052	0.3884
0.3996	0.0064	0.0	0.0104	0.184	0.0056	0.0	0.0048	0.3892
0.4	0.0064	0.0	0.01	0.184	0.0056	0.0	0.0048	0.3892
0.4	0.0064	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
0.4004	0.006	0.0	0.01	0.1836	0.0052	0.0	0.0048	0.39
