,x,y,num,connection
0,0,0,18,"[(6, 10), (9, 8), (4, 11), (3, 5), (4, 15), (1, 1), (14, 0), (10, 10), (0, 3), (17, 12), (9, 4), (11, 13), (10, 4), (6, 3), (4, 9), (3, 4), (2, 1), (14, 14)]"
1,0,1,27,"[(1, 1), (5, 22), (6, 11), (8, 9), (11, 13), (12, 6), (10, 0), (1, 0), (1, 5), (9, 8), (1, 11), (12, 3), (17, 8), (14, 15), (10, 9), (15, 11), (8, 13), (4, 1), (3, 6), (19, 4), (13, 24), (9, 7), (16, 19), (1, 3), (5, 6), (2, 10), (9, 0)]"
2,0,2,33,"[(5, 4), (3, 13), (3, 2), (10, 5), (8, 1), (10, 3), (7, 10), (12, 4), (15, 14), (10, 0), (6, 1), (17, 11), (5, 5), (11, 10), (4, 5), (12, 13), (6, 7), (9, 4), (10, 8), (10, 15), (1, 4), (0, 9), (13, 6), (5, 7), (1, 7), (7, 19), (12, 20), (10, 14), (0, 6), (6, 0), (20, 0), (5, 3), (19, 13)]"
3,0,3,28,"[(0, 0), (0, 5), (5, 19), (6, 0), (5, 0), (11, 0), (8, 17), (4, 1), (0, 15), (10, 12), (7, 6), (4, 10), (6, 17), (10, 4), (2, 1), (9, 3), (32, 6), (16, 2), (1, 22), (6, 14), (9, 11), (11, 3), (9, 6), (1, 2), (16, 16), (12, 9), (13, 12), (17, 4)]"
4,0,4,27,"[(0, 19), (1, 9), (7, 6), (13, 7), (8, 8), (8, 16), (10, 12), (11, 5), (6, 9), (11, 23), (13, 10), (3, 4), (8, 6), (10, 5), (3, 1), (17, 12), (19, 7), (8, 11), (4, 6), (9, 9), (6, 10), (9, 22), (5, 8), (8, 4), (24, 7), (3, 8), (10, 18)]"
5,0,5,36,"[(0, 3), (13, 12), (4, 10), (19, 1), (13, 3), (4, 7), (1, 1), (5, 7), (3, 18), (10, 4), (15, 7), (5, 8), (3, 20), (7, 16), (3, 6), (10, 9), (0, 10), (4, 4), (14, 2), (6, 3), (9, 24), (12, 9), (3, 1), (2, 24), (14, 12), (9, 11), (15, 6), (12, 10), (7, 0), (6, 5), (4, 1), (12, 17), (9, 5), (5, 12), (15, 9), (17, 2)]"
6,0,6,27,"[(0, 2), (16, 8), (6, 2), (20, 5), (13, 3), (4, 6), (2, 2), (3, 9), (0, 7), (7, 7), (15, 16), (11, 13), (1, 11), (8, 14), (5, 16), (2, 7), (3, 18), (2, 17), (5, 8), (7, 3), (15, 11), (4, 14), (3, 13), (5, 20), (24, 7), (5, 12), (17, 17)]"
7,0,7,18,"[(0, 6), (2, 21), (13, 5), (1, 18), (30, 16), (6, 16), (4, 14), (9, 29), (2, 12), (2, 6), (3, 5), (3, 20), (12, 23), (2, 15), (13, 1), (8, 5), (8, 2), (0, 16)]"
8,0,8,27,"[(0, 17), (5, 8), (11, 25), (7, 21), (12, 11), (6, 10), (10, 17), (7, 26), (0, 12), (0, 27), (9, 5), (4, 20), (13, 19), (8, 0), (22, 9), (11, 11), (20, 7), (8, 22), (7, 9), (8, 5), (3, 11), (11, 6), (2, 21), (10, 13), (12, 10), (3, 3), (16, 12)]"
9,0,9,18,"[(0, 2), (3, 7), (12, 9), (5, 4), (5, 12), (13, 8), (11, 9), (6, 7), (4, 34), (8, 6), (8, 12), (16, 11), (15, 17), (5, 8), (8, 11), (6, 22), (23, 5), (2, 16)]"
10,0,10,19,"[(0, 5), (4, 14), (3, 22), (12, 15), (12, 22), (13, 13), (8, 19), (5, 8), (6, 22), (14, 15), (7, 22), (11, 8), (4, 9), (6, 17), (1, 5), (9, 20), (2, 13), (9, 18), (9, 13)]"
11,0,11,29,"[(9, 20), (33, 6), (13, 24), (5, 14), (10, 13), (9, 4), (14, 7), (6, 9), (15, 12), (15, 14), (2, 0), (2, 17), (11, 6), (12, 4), (6, 17), (4, 10), (3, 7), (7, 36), (1, 8), (10, 0), (13, 10), (11, 18), (4, 2), (10, 16), (8, 14), (25, 9), (12, 10), (3, 14), (23, 3)]"
12,0,12,29,"[(0, 8), (3, 4), (11, 8), (15, 18), (7, 20), (7, 13), (11, 12), (11, 15), (9, 7), (2, 19), (1, 9), (4, 21), (5, 9), (17, 0), (8, 16), (9, 12), (8, 4), (6, 14), (8, 12), (0, 22), (10, 14), (8, 14), (4, 6), (20, 5), (11, 3), (1, 18), (14, 15), (15, 34), (17, 2)]"
13,0,13,24,"[(2, 8), (22, 30), (1, 12), (13, 18), (6, 19), (4, 10), (8, 12), (5, 15), (6, 23), (4, 20), (6, 21), (2, 14), (17, 17), (7, 18), (8, 3), (1, 14), (5, 9), (8, 18), (10, 13), (14, 18), (11, 16), (10, 14), (8, 20), (2, 2)]"
14,0,14,18,"[(2, 0), (3, 23), (8, 17), (19, 14), (6, 24), (14, 23), (2, 9), (5, 13), (7, 7), (3, 6), (12, 21), (1, 10), (1, 3), (15, 10), (24, 24), (8, 10), (12, 11), (23, 15)]"
