,x,y,num,connection
0,0,0,21,"[(1, 5), (23, 17), (6, 1), (9, 0), (11, 42), (4, 14), (5, 3), (9, 10), (27, 17), (4, 15), (14, 16), (3, 16), (10, 8), (7, 7), (12, 4), (15, 11), (8, 32), (8, 0), (18, 15), (3, 12), (19, 24)]"
1,0,1,41,"[(29, 11), (3, 7), (30, 10), (17, 1), (0, 6), (20, 17), (9, 1), (28, 9), (6, 18), (18, 0), (3, 21), (7, 7), (11, 21), (14, 18), (7, 22), (6, 0), (5, 20), (9, 13), (4, 29), (24, 3), (29, 14), (12, 15), (18, 16), (17, 3), (20, 11), (3, 16), (12, 18), (21, 9), (4, 7), (3, 3), (11, 12), (9, 6), (8, 2), (3, 8), (5, 2), (5, 13), (17, 13), (4, 4), (4, 24), (13, 21), (24, 8)]"
2,0,2,44,"[(4, 3), (5, 11), (3, 18), (9, 15), (5, 24), (2, 27), (8, 20), (20, 9), (6, 17), (21, 7), (22, 18), (6, 14), (15, 8), (1, 14), (4, 13), (3, 4), (19, 2), (8, 3), (1, 15), (9, 1), (8, 2), (13, 7), (4, 23), (1, 12), (34, 36), (6, 5), (17, 0), (0, 14), (2, 4), (36, 1), (8, 1), (6, 4), (11, 10), (15, 7), (7, 2), (1, 2), (4, 6), (11, 25), (3, 17), (6, 24), (6, 21), (13, 4), (3, 26), (11, 8)]"
3,0,3,29,"[(10, 0), (6, 42), (8, 40), (7, 22), (14, 21), (18, 21), (0, 15), (19, 6), (2, 12), (12, 23), (7, 20), (36, 13), (6, 9), (15, 9), (6, 17), (16, 18), (15, 19), (21, 13), (8, 6), (23, 12), (7, 17), (25, 14), (2, 27), (8, 9), (14, 18), (1, 7), (4, 0), (25, 16), (2, 3)]"
4,0,4,23,"[(32, 0), (0, 9), (5, 32), (11, 15), (8, 25), (6, 12), (12, 2), (8, 14), (13, 3), (3, 17), (1, 27), (20, 14), (7, 19), (12, 14), (1, 22), (5, 1), (24, 2), (19, 15), (13, 21), (29, 5), (8, 49), (26, 1), (10, 6)]"
5,0,5,25,"[(9, 17), (15, 10), (22, 5), (22, 3), (25, 0), (6, 31), (8, 6), (15, 6), (1, 10), (8, 8), (13, 24), (12, 24), (6, 3), (3, 17), (7, 7), (12, 10), (12, 42), (1, 7), (13, 21), (14, 22), (2, 6), (6, 26), (9, 10), (7, 19), (16, 33)]"
6,0,6,20,"[(0, 1), (27, 11), (36, 17), (13, 2), (8, 1), (30, 5), (0, 28), (2, 27), (6, 20), (2, 20), (12, 21), (9, 1), (7, 32), (44, 31), (6, 16), (15, 20), (13, 22), (24, 4), (14, 11), (5, 11)]"
7,0,7,22,"[(14, 2), (19, 26), (30, 9), (8, 29), (7, 23), (1, 8), (9, 14), (4, 14), (8, 15), (6, 23), (19, 24), (19, 5), (23, 17), (49, 6), (3, 12), (2, 6), (11, 19), (8, 4), (12, 33), (6, 4), (1, 26), (6, 13)]"
8,0,8,29,"[(14, 10), (4, 43), (1, 3), (14, 23), (0, 71), (1, 42), (4, 22), (2, 12), (10, 15), (16, 7), (13, 6), (21, 12), (17, 29), (24, 12), (29, 2), (19, 31), (14, 7), (27, 33), (7, 17), (5, 16), (2, 3), (19, 4), (11, 19), (16, 10), (3, 26), (16, 0), (20, 13), (11, 14), (3, 25)]"
9,0,9,32,"[(0, 4), (27, 19), (13, 12), (22, 10), (9, 15), (12, 23), (17, 2), (1, 6), (21, 10), (4, 4), (8, 20), (4, 2), (2, 35), (5, 25), (3, 8), (15, 2), (7, 28), (3, 4), (16, 4), (27, 38), (9, 22), (6, 6), (18, 3), (16, 23), (29, 15), (7, 17), (17, 3), (15, 9), (3, 10), (6, 24), (13, 13), (2, 10)]"
