number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.3412,0.016228944019867714,0.33695939770729105,0.0188,0.044
20,0.3492,0.016126053453960766,0.3375846526809678,-0.026,0.052
30,0.338,0.016271242853574522,0.3338378874284277,0.0108,0.054
40,0.3448,0.016187928341823112,0.3338099713223659,-0.0088,0.05
50,0.3488,0.016137608249055992,0.33356652143448945,0.012,0.034
60,0.3528,0.016089239136764674,0.33301261044904207,-0.0064,0.046
70,0.3304,0.01636518450858407,0.3389889737968754,-0.0072,0.038
80,0.33,0.016366746775092478,0.33374419189588733,0.018,0.034
90,0.3476,0.01615154432244793,0.33467942726092587,-0.0148,0.032
100,0.346,0.016171344532845744,0.33577995502704056,-0.0148,0.048
