media_authority,initial_threshold,final_opinion,final_std,final_clustering,final_pol,prob_to_change
0,0.03,0.0028,0.019953627840570747,0.8349087260845119,-0.0428,1.3376
0,0.06,0.016,0.018975055625741918,0.8219802414737831,0.2896,1.1936
0,0.09,0.018,0.018994990497496967,0.8149740456708141,-0.2828,1.1504
0,0.12,0.0092,0.019690096597020548,0.8444062760627982,0.1468,1.1324
0,0.15,0.0368,0.019603467448387802,0.8160243009093181,-0.0496,1.0896
0,0.18,0.0552,0.019127603509065113,0.7680667960455366,0.1736,1.0188
0,0.21,0.0796,0.019180007924920153,0.7599970606619265,-0.0268,1.0048
0,0.24,0.0888,0.019045115279252053,0.7562592430818554,0.0664,0.9812
0,0.27,0.1084,0.018825567295569074,0.7390947996243367,-0.0748,0.9072
2.5,0.03,0.0072,0.019919074677303666,0.8227639617243775,0.0296,1.1908
2.5,0.06,0.0236,0.01975574853049107,0.8067042689289481,-0.026,1.296
2.5,0.09,0.04,0.019595859154423415,0.788520996270398,0.0024,1.1972
2.5,0.12,0.0408,0.01956575620823279,0.8047179170599553,0.0464,1.168
2.5,0.15,0.0712,0.01927315397126272,0.7772029551973275,0.0128,1.0896
2.5,0.18,0.1028,0.018937422844727315,0.7538059127043312,-0.0252,0.8556
2.5,0.21,0.144,0.018501286441758587,0.7251728631173471,-0.016,0.8104
2.5,0.24,0.6016,0.012609137004569344,0.47937655680649816,0.0304,0.356
2.5,0.27,0.6344,0.012087849105610147,0.49867910421037515,0.0176,0.3348
5,0.03,0.018,0.019626064302350588,0.7428555115894631,0.138,1.2952
5,0.06,0.0392,0.019594147697718316,0.7606866299163881,-0.0312,1.136
5,0.09,0.1312,0.018623312702094653,0.56170173782239,0.0416,0.9392
5,0.12,0.1048,0.018922670424652014,0.7072103033410498,0.0056,0.964
5,0.15,0.1688,0.018233184691654938,0.6522294697389347,0.0088,0.8524
5,0.18,0.4616,0.0146683092413543,0.41614103505608235,-0.0224,0.518
5,0.21,0.5656,0.01318156288154026,0.4456068480157575,0.004,0.4456
5,0.24,0.586,0.012863529842154523,0.46286063930605814,0.018,0.3924
5,0.27,0.6164,0.012380368976730864,0.48702229491305826,-0.0204,0.3812
7.5,0.03,0.04,0.019594977315628613,0.5380543767155467,-0.0096,1.046
7.5,0.06,0.0888,0.01909093020258573,0.5566146413184301,-0.0064,0.9936
7.5,0.09,0.1996,0.017892226692058203,0.44238546713388804,-0.0084,0.8516
7.5,0.12,0.3132,0.016573055723070506,0.3726273818681172,-0.0116,0.6888
7.5,0.15,0.3728,0.0158385373062035,0.40790977246234045,-0.0072,0.648
7.5,0.18,0.4716,0.014537959141502634,0.3953142979191215,-0.0044,0.5232
